,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
579,HP,Envy,Intel,Core i7,10th,16 GB,DDR4,1024 GB,0 GB,Windows,64-bit,6,Casual,15.6,1,No,Yes,144690,173453,16,4.2,17,4
581,MSI,Stealth,Intel,Core i7,11th,16 GB,DDR4,1024 GB,0 GB,Windows,64-bit,6,Casual,16,2,No,No,119990,162990,26,4.3,20,3
583,ASUS,ZenBook,Intel,Core i7,10th,16 GB,LPDDR3,1024 GB,0 GB,Windows,64-bit,2,Casual,16,1,No,Yes,124990,146990,14,4.6,17,1
585,HP,Spectre,Intel,Core i7,10th,16 GB,DDR4,1024 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,No,179990,216368,16,4.2,13,5
586,MSI,Summit,Intel,Core i7,11th,16 GB,DDR4,1024 GB,0 GB,Windows,64-bit,4,Casual,16,2,Yes,No,154990,156990,1,4.0,3,2
587,Lenovo,Yoga,Intel,Core i7,11th,16 GB,LPDDR4X,1024 GB,0 GB,Windows,64-bit,0,Casual,16,1,No,Yes,122990,167890,26,3.0,4,2
588,ASUS,Missing,Intel,Core i7,10th,16 GB,DDR4,1024 GB,0 GB,Windows,64-bit,6,Casual,Missing,1,Yes,No,224990,272990,17,4.7,9,0
592,Lenovo,Legion,Intel,Core i7,11th,16 GB,DDR4,1024 GB,0 GB,Windows,64-bit,6,Casual,16,0,No,No,151098,224490,32,4.4,7,0
593,MSI,Pulse,Intel,Core i7,11th,16 GB,DDR4,1024 GB,0 GB,Windows,64-bit,8,Casual,16,2,No,No,129990,179990,27,4.2,14,3
595,MSI,Missing,Intel,Core i7,12th,16 GB,DDR4,1024 GB,0 GB,Windows,64-bit,6,Casual,16,0,No,No,139990,156990,10,4.5,4,2
596,acer,Predator,Intel,Core i7,11th,16 GB,DDR4,1024 GB,0 GB,Windows,64-bit,6,Casual,16,1,No,No,129990,149990,13,4.5,54,7
598,DELL,Inspiron,Intel,Core i7,11th,16 GB,DDR4,1024 GB,0 GB,Windows,64-bit,2,Casual,16,1,No,Yes,93955,122300,23,4.8,4,0
600,HP,Spectre,Intel,Core i7,11th,16 GB,LPDDR4X,1024 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,Yes,128500,152042,15,3.7,3,1
601,Lenovo,Yoga,Intel,Core i7,11th,16 GB,DDR4,1024 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,Yes,102990,104033,1,4.4,16,2
602,ASUS,ZenBook,Intel,Core i7,11th,16 GB,LPDDR4X,1024 GB,0 GB,Windows,64-bit,0,Casual,16,1,Yes,No,119990,158990,24,4.8,8,1
604,ASUS,Zephyrus,Intel,Core i7,11th,16 GB,DDR4,1024 GB,0 GB,Windows,32-bit,6,Casual,16,1,No,No,157249,220990,28,4.3,7,0
607,ASUS,ExpertBook,Intel,Core i7,10th,16 GB,LPDDR3,1024 GB,0 GB,Windows,64-bit,0,Casual,16,0,No,No,154990,172990,10,5.0,3,0
609,Lenovo,Yoga,Intel,Core i7,10th,16 GB,LPDDR4X,1024 GB,0 GB,Windows,64-bit,0,ThinNlight,16,0,No,No,119990,148082,18,2.5,2,1
612,Avita,Liber,Intel,Core i7,10th,16 GB,DDR4,1024 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,62990,83390,24,3.9,207,49
613,Lenovo,ThinkBook,Intel,Core i7,11th,16 GB,LPDDR4,1024 GB,0 GB,Windows,64-bit,0,Casual,13,1,No,Yes,85990,148158,41,3.4,7,2
617,acer,Predator,Intel,Core i7,10th,16 GB,DDR4,2048 GB,0 GB,Windows,64-bit,8,Casual,16,1,No,No,159990,160190,0,3.8,4,0
621,MSI,GF63,Intel,Core i7,10th,8 GB,DDR4,256 GB,1024 GB,Windows,64-bit,4,Casual,15.6,2,No,No,63990,83990,23,4.3,794,83
622,ASUS,VivoBook,Intel,Core i7,10th,16 GB,DDR4,256 GB,1024 GB,Windows,64-bit,4,Gaming,15.6,0,No,No,66990,97990,31,4.2,25,4
